population,unemployed,shape,year,district,districtNumber,foreigners,births
57946.8,1740.3,gesamt,2008,Trudering-Riem,15,9876,694
103798.8,6067.3,gesamt,2008,Ramersdorf - Perlach,16,28602,986
48368.6,2322.5,gesamt,2008,Moosach,1,12352,490
48368.6,352.5,gesamt,2008,Moosach,1,12352,490
19354.8,2322.5,gesamt,2008,Altstadt-Lehel,1,12352,205
19354.8,352.5,gesamt,2008,Altstadt-Lehel,1,12352,205
51870.3,2459.8,gesamt,2008,Sendling - Westpark,7,12011,475
48290.2,1262.5,gesamt,2008,Maxvorstadt,3,11304,476
55578.7,2727,gesamt,2008,Feldmoching-Hasenbergl,24,14780,531
48368.6,2322.5,gesamt,2008,Moosach,1,4386,490
48368.6,352.5,gesamt,2008,Moosach,1,4386,490
19354.8,2322.5,gesamt,2008,Altstadt-Lehel,1,4386,205
19354.8,352.5,gesamt,2008,Altstadt-Lehel,1,4386,205
49107.5,1713.5,gesamt,2008,Untergiesing - Harlaching,18,9765,486
64838.2,1777.5,gesamt,2008,Pasing,21,11025,680
63865.3,1974,gesamt,2008,Schwabing - Freimann,12,14581,609
47159.2,1851,gesamt,2008,Ludwigsvorstadt-Isarvorstadt,10,9947,573
47159.2,1596.5,gesamt,2008,Ludwigsvorstadt-Isarvorstadt,10,9947,573
46137.5,1851,gesamt,2008,Hadern,2,9947,400
46137.5,1596.5,gesamt,2008,Hadern,2,9947,400
50879.3,2074.3,gesamt,2008,Laim,25,11209,506
55612.2,1687.3,gesamt,2008,Au-Haidhausen,5,12247,642
86382,2529.8,gesamt,2008,Neuhausen-Nymphenburg,9,18436,928
46309.5,1678.5,gesamt,2009,Hadern,2,11944,429
46309.5,1871,gesamt,2009,Hadern,2,11944,429
46713.2,1678.5,gesamt,2009,Ludwigsvorstadt-Isarvorstadt,10,11944,572
46713.2,1871,gesamt,2009,Ludwigsvorstadt-Isarvorstadt,10,11944,572
51974.9,2548.5,gesamt,2009,Sendling - Westpark,7,11825,505
38179.8,1410.5,gesamt,2009,Aubing - Lochhausen - Langwied,22,7157,344
46309.5,1678.5,gesamt,2009,Hadern,2,9973,429
46309.5,1871,gesamt,2009,Hadern,2,9973,429
46713.2,1678.5,gesamt,2009,Ludwigsvorstadt-Isarvorstadt,10,9973,572
46713.2,1871,gesamt,2009,Ludwigsvorstadt-Isarvorstadt,10,9973,572
