algIIRate,population,unemployed,shape,year,district,districtNumber,foreignerPercent,foreigners,birthRate,births
4.4,82362.7,2344.5,gesamt,2009,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,19,19,15647,9.7,799
7.3,39782.7,2009,gesamt,2009,Berg am Laim,14,26.6,10579,10.7,427
3.6,28592.6,675,gesamt,2009,Allach-Untermenzing,23,15.6,4480,10.5,300
4.5,65049.3,1924.3,gesamt,2009,Pasing-Obermenzing,21,16.5,10792,10.3,668
3.6,76669.6,1846.5,gesamt,2009,Bogenhausen,13,17.8,13628,9.7,744
7.7,55094.3,2752.5,gesamt,2009,Feldmoching-Hasenbergl,24,25.9,14265,10.4,571
3.3,48400.3,1299,gesamt,2009,Maxvorstadt,3,22.4,10888,10.7,516
6.2,47977.2,2157.8,gesamt,2009,Obergiesing-Fasangarten,17,27.7,13407,11.1,531
8.3,67726,4007.3,gesamt,2009,Milbertshofen-Am Hart,11,34.8,23683,11.1,755
9.2,103510.5,6353.8,gesamt,2009,Ramersdorf-Perlach,16,27.3,28340,9.8,1018
4.1,55463.9,1686.5,gesamt,2009,Au-Haidhausen,5,21.2,11765,13.2,734
6.7,27721.7,1411.8,gesamt,2009,Schwanthalerhoehe,8,33.6,9358,12,334
5.5,48947.2,1829.3,gesamt,2009,Untergiesing-Harlaching,18,18.9,9263,9.5,463
3.4,61895.9,1543.8,gesamt,2009,Schwabing-West,4,19.6,12181,11,681
6.3,38089.3,1770.8,gesamt,2009,Sendling,6,24.3,9250,12.3,467
4.2,87206.6,2639.8,gesamt,2009,Neuhausen-Nymphenburg,9,20.7,18147,11,962
5.8,51142.3,2074.5,gesamt,2009,Laim,25,21.5,11059,9.2,472
4.6,59836.3,1825.8,gesamt,2009,Trudering-Riem,15,17,10321,12,721
4.4,63646.2,2037.3,gesamt,2009,Schwabing-Freimann,12,22,14013,9,573
8.7,68660,4240.8,gesamt,2010,Milbertshofen-Am Hart,11,35.3,24373,10.1,694
4.2,88545.1,2713,gesamt,2010,Neuhausen-Nymphenburg,9,20.7,18464,11.3,999
4.7,82915.2,2564,gesamt,2010,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,19,19.7,16467,10,829
4.7,65644,2038.3,gesamt,2010,Pasing-Obermenzing,21,16.9,11221,10.2,671
4.7,61898.8,1947.3,gesamt,2010,Trudering-Riem,15,17.7,11078,12,742
7.8,40039.8,2169.8,gesamt,2010,Berg am Laim,14,27,10960,10.9,436
